"","200710A","200710B","200711A","200711B","200712A","200712B","200801A","200801B","200802A","200802B","200803A","200803B","200804A","200804B","200805A","200805B","200806A","200806B","200807A","200808A","200809A","200809B","200810A","200810B","200811A","200811B","200812A","200812B","200901A","200901B","200902A","200902B","200903A","200903B","200904A","200904B","200905A","200905B","200906A","200906B","200907A","200907B","200908A","200908B","200909A","200909B","200910A","200910B","200911A","200911B","200912A","200912B","201001A","201001B","201002A","201002B","201003A","201003B","201004A","201004B","201005A","201005B","201006A","201006B","201007A","201007B","201008A","201008B","201009A","201009B","201010A","201010B","201011A","201011B","201012A","201012B","201101A","201101B","201102A","201102B","201103A","201103B","201104A","201104B","201105A","201105B","201106A","201106B","201107A","201107B","201108A","201108B","201109A","201109B","201110A","201110B","201111A","201111B","201112A","201112B","201201A","201201B","201202A","201202B","201203A","201203B","201204A","201204B","201205A","201205B","201206A","201206B","201207A","201207B","201208A","201208B","201209A","201209B","201210A","201210B","201211A","201211B","201212A","201212B","201301A","201301B","201302A","201302B","201303A","201303B","201304A","201304B","201305A","201305B","201306A","201306B","201307A","201307B","201308A","201308B","201309A","201309B","201310A","201310B","201311A","201311B","201312A","201312B","201401A","201401B","201402A","201402B","201403A","201403B","201404A","201404B","201405A","201405B","201406A","201406B","201407A","201407B","201408A","201408B","201409A","201409B","201410A","201410B","201411A","201411B","201412A","201412B","201501A","201501B","201502A","201502B","201503A","201503B","201504A","201504B","201505A","201505B","201506A","201506B","201507A","201507B","201508A","201508B","201509A","201509B","201510A","201510B","201511A","201511B","201512A","201512B"
"LG.5",2650,0,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,0,2650,0,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,5300,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,5300,2650,0,2650,2650,2650,2650,2650,2650,2300,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,5300,2650,0,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,5300,2650,0,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,0,2650,5300,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,5300,2650,0,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650
"LG.6",6500,0,3250,3250,0,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,0,3250,0,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,6500,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,900,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,0,3250,6500,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,1800,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,6500,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250
"LS.11",4800,0,2400,2400,0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,0,2400,4800,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,0,2400,4800,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,4800,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,0,2400,4800,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
"LS.12",1450,0,1450,1450,1450,0,1450,2900,1450,100,1450,1450,1450,1450,1450,1450,1450,1450,0,1450,0,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,0,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,2900,1450,0,1450,1450,1450,1450,1450,2900,1450,0,1450,1450,1450,1450,1450,2900,1450,0,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,0,1450,2900,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,2900,1450,0,1450,1450,1450,1450,1450,1450,1450,1450,1450,4350,1450,0,1450,1450,1450,1450,1450,1450,1450,4350,1450,1450,1450,0,1450,2900,1450,0,1450,1450,1450,1450,1450,2900,1450,0,1450,2900,1450,2900,1450,1450,1450,1450,1450,0,1450,1450,1450,2900,1450,0,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,2900,1450,0,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
"LS.5",850,0,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,0,850,0,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,1700,850,0,850,850,850,850,850,850,150,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,1700,850,0,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,1700,850,0,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,0,850,1700,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,1700,850,0,850,850,850,850,850,850,850,850,850,850,850
"LS.6",1300,0,650,650,0,650,650,650,650,650,650,650,650,650,650,650,650,650,0,650,0,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,400,650,650,650,650,650,650,650,650,650,650,650,650,650,1300,650,650,0,650,1300,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,250,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,1300,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650
"MO.10",0,3550,3550,3550,3550,3550,3550,0,3550,7100,3550,3550,3550,3550,3550,3550,3550,3550,0,0,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MO.13",0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0,300,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,600,300,0,300,300,600,300,0,300,300,300,300,300,300,300,300,600,300,0,300,600,300,0,300,300,300,300,300,300,300,300,300,300,300,300,300,600,300,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,600,0,300,300,300,300,0,300,600,300,300,300,300,300,300,300,300,300,300,300,300,300,300,600,300,0,300,300,300,300,300,300,300,300,300,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,600,300,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,600,300,0,300,300,300,300,300,300,300,300,300,300,300
"MO.7",1950,0,1950,0,3900,0,3900,0,3900,0,3900,0,3900,0,3900,0,3900,0,0,0,3900,0,3900,0,3900,0,3900,0,1950,1950,3900,0,3900,0,1950,1950,3900,0,1950,1950,3900,0,1950,1950,1950,1950,1950,1950,1950,0,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1100,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,3900,1950,0,1950,1950,1950,3900,1950,0,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,3900,1950,0,1950,1950,1950,1950,0,1950,3900,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,3900,1950,0,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1100,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950
"MO.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MO.9",3400,3400,3400,3400,3400,3400,3400,0,3400,6800,3400,3400,3400,3400,3400,3400,3400,3400,0,0,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PS.1",3250,3250,3250,6500,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,6500,6500,6500,3250,0,3250,0,3250,3250,9750,3250,3250,3250,3250,3250,3250,3250,3250,3250,6500,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,6500,9750,0,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,6500,3250,0,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,6500,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,0,3250,6500,3250,3250,6500,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,6500,3250,0,3250,3250,6500,6500,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,0,3250,6500,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250
"PS.2",0,0,0,0,3550,3550,3550,3550,3550,3550,3550,7100,3550,3550,3550,7100,7100,3550,3550,0,3550,3550,7100,3000,3550,3550,3550,3550,3550,7100,3550,3550,3550,3550,3550,3550,3550,17750,3550,3550,3550,7100,3550,3550,3550,7100,3550,7100,7100,3550,7100,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,7100,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,0,3550,7100,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,10650,3550,7100,3550,3550,3550,3550,3550,3550,10650,10650,3550,3550,3550,7100,0,3550,3550,3550,7100,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3100,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550
"UG.13",0,0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2550,2900,0,2900,0,2900,2700,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,3000,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,5800,2900,0,2900,2900,5800,2900,0,2900,2900,2900,2900,2900,2900,2900,2200,5800,2900,0,3000,6000,3000,0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6000,3000,0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6000,0,3000,3000,3000,3000,0,3000,6000,3000,3000,6000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6000,3000,0,3000,3000,3000,3000,3000,3000,3000,3000,3000,350,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6000,3000,0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6000,3000,0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
