"","Obs.dist","Obs.Site","Rep.ID"
"281",20,"LG.5","201302A"
"282",30,"PS.2","201302B"
"283",15,"AB.3","201303A"
"284",20,"UG.7","201303A"
"285",3,"UG.8","201303A"
"286",20,"PS.1","201303B"
"287",10,"FS.3","201304A"
"288",20,"PS.1","201304A"
"289",15,"PS.2","201304B"
"290",1,"PS.1","201304B"
"291",25,"PS.2","201305A"
"292",15,"PS.2","201305A"
"293",20,"PS.2","201305A"
"294",0,"LS.12","201306A"
"295",20,"PS.2","201306A"
"296",10,"PS.2","201306A"
"297",2,"LS.12","201306A"
"298",6,"LS.12","201306A"
"299",1,"PS.1","201310A"
"300",30,"PS.1","201310A"
"301",30,"PS.2","201310A"
"302",50,"PS.2","201310A"
"303",40,"PS.2","201310A"
"304",25,"LS.6","201310A"
"305",50,"PS.1","201309B"
"306",4,"PS.1","201309B"
"307",30,"PS.2","201309B"
"308",20,"PS.2","201309B"
"309",30,"PS.2","201309B"
"310",15,"AB.11","201310B"
"311",7,"FS.11","201310B"
"312",40,"AB.3","201311A"
"313",50,"AB.12","201311A"
"314",20,"PS.2","201308A"
"315",2,"LS.12","201307A"
"316",20,"PS.2","201308B"
"317",15,"LS.11","201311A"
"318",25,"LS.11","201311A"
"319",20,"PS.2","201311A"
"320",50,"PS.1","201311A"
"321",25,"LS.5","201311B"
"322",15,"LG.6","201307A"
"323",5,"AB.4","201307B"
"324",20,"UG.7","201307B"
"325",3,"LS.11","201308B"
"326",50,"FS.3","201311B"
"327",40,"FS.3","201311B"
"328",1,"FS.4","201312A"
"329",30,"LG.6","201312A"
"330",NA,"PS.1","201312A"
"331",10,"LS.11","201312A"
"332",30,"LS.11","201312B"
"333",8,"AB.12","201401A"
"334",30,"AB.4","201402B"
"335",40,"PS.2","201402B"
"336",20,"PS.2","201402B"
"337",18,"PS.2","201403B"
"338",40,"AB.12","201403B"
"339",25,"LS.6","201403B"
"340",18,"AB.4","201404A"
"341",10,"LS.11","201404A"
"342",25,"LG.5","201404A"
"343",10,"LS.12","201404A"
"344",25,"LS.12","201404A"
"345",20,"LS.12","201405B"
"346",13,"FS.3","201405B"
"347",5,"LS.11","201405B"
"348",12,"LS.6","201406A"
"349",3,"AB.12","201406B"
"350",30,"AB.11","201406B"
"351",20,"LG.5","201408B"
"352",5,"LS.12","201408B"
"353",20,"LS.5","201409A"
"354",10,"LG.5","201409B"
"355",20,"AB.4","201410B"
"356",10,"PS.2","201410A"
"357",9,"UG.8","201411B"
"358",10,"PS.1","201411A"
"359",20,"AB.3","201412B"
"360",10,"LS.6","201412B"
"361",12,"PS.1","201501B"
"362",5,"FS.3","201501B"
"363",12,"FS.4","201501B"
"364",8,"FS.4","201501B"
"365",5,"AB.12","201501B"
"366",12,"PS.1","201502A"
"367",8,"AB.12","201502A"
"368",4,"FS.4","201502B"
"369",18,"AB.3","201503A"
"370",5,"PS.2","201503B"
"371",3,"AB.4","201504A"
"372",15,"UG.8","201504A"
"373",15,"PS.2","201505B"
